wdid,spectype,teff,logg,Dlogg,mass,Dmass
Gaia DR2 147448842907369216,DC:,8488.0,8.137,,0.68,
Gaia DR2 1484845034034212224,DC,7971.0,8.422,,0.865,
Gaia DR2 1485449383176277248,DC:,4520.0,7.799,,0.462,
Gaia DR2 14862584004642688,DC,6481.0,8.244,0.01,0.729,0.01
Gaia DR2 1486484367214724992,DC,6457.0,7.879,0.015,0.503,0.012
Gaia DR2 1486537113709628672,DC,5089.0,7.945,0.033,0.536,0.027
Gaia DR2 1486801267085903488,DC,5780.0,8.087,0.029,0.625,0.026
Gaia DR2 14895255820376064,DC,5894.0,7.892,0.036,0.509,0.028
Gaia DR2 1491559506730816384,DC,6221.0,8.285,0.029,0.756,0.027
Gaia DR2 1494564162771398016,DC,5693.0,8.034,0.032,0.592,0.027
Gaia DR2 149884909703520000,DC,5861.0,8.003,0.036,0.573,0.03
Gaia DR2 1499290379143445760,DC,6231.0,7.965,0.019,0.552,0.016
Gaia DR2 1503203059990907648,DC,6019.0,7.989,0.023,0.565,0.02
Gaia DR2 1509745124111150848,DC,5367.0,7.891,0.033,0.505,0.026
Gaia DR2 1524205557443256192,DC,4584.0,7.691,0.012,0.407,0.008
Gaia DR2 153007870619276032,DC,7632.0,8.255,,0.754,
Gaia DR2 1531580424311162880,DC,5447.0,7.822,0.023,0.468,0.017
Gaia DR2 1541537056152533504,DC+dM,5634.0,7.839,0.028,0.478,0.021
Gaia DR2 1541891816154999168,DC,5143.0,8.184,0.057,0.686,0.052
Gaia DR2 154198607352612480,DC,10327.0,8.171,,0.706,
Gaia DR2 154230836785464960,DC:,4806.0,7.886,,0.511,
Gaia DR2 1542850487215495168,DC,5090.0,8.091,0.044,0.637,0.04
Gaia DR2 1551097000517516288,DC:,4806.0,7.801,,0.464,
Gaia DR2 1551279240274526208,DC,5118.0,8.02,0.022,0.581,0.019
Gaia DR2 1551761857160285312,DC,6077.0,8.08,0.027,0.622,0.024
Gaia DR2 1556162240133919744,DC,5058.0,7.96,0.034,0.556,0.028
Gaia DR2 1556577584947193856,DC,10256.0,8.071,0.015,0.624,0.013
Gaia DR2 1558885180679234304,DC,4917.0,7.82,0.038,0.465,0.028
Gaia DR2 1563260687202320256,DC,9743.0,8.004,0.011,0.582,0.009
Gaia DR2 1563853976804546688,DC,5811.0,8.111,0.035,0.64,0.032
Gaia DR2 1564321200527368704,DC,5114.0,8.376,0.025,0.827,0.023
Gaia DR2 1566020598826667904,DC,5677.0,8.169,0.027,0.677,0.025
Gaia DR2 1578256136019422080,DC,5978.0,8.02,0.035,0.584,0.029
Gaia DR2 1578585611551014528,DC,5529.0,8.092,0.02,0.627,0.018
Gaia DR2 1587405000476135168,DC,4898.0,7.761,0.033,0.434,0.024
Gaia DR2 158800402816375552,DC:,5075.0,7.959,,0.556,
Gaia DR2 158800402816378240,DC:,5041.0,7.899,,0.52,
Gaia DR2 1591027895583640960,DC:,4902.0,8.067,0.058,0.621,0.052
Gaia DR2 1594422496000994048,DC,5352.0,7.901,0.036,0.511,0.029
Gaia DR2 1596808642391186560,DC,5133.0,7.87,0.023,0.493,0.018
Gaia DR2 1597468108851256192,DC,5858.0,8.243,0.026,0.727,0.024
Gaia DR2 1599832161929255424,DC,4588.0,7.877,0.03,0.505,0.024
Gaia DR2 1601489813146914176,DC,5081.0,8.04,0.03,0.605,0.027
Gaia DR2 1603370081109395200,DC,5621.0,7.713,0.026,0.413,0.018
Gaia DR2 1604224470364124416,DC,4501.0,7.943,,0.543,
Gaia DR2 1605951944865784960,DC,6446.0,8.139,0.024,0.66,0.022
Gaia DR2 161053615673941248,DC,4794.0,,,0.975,0.041
Gaia DR2 1614999581236563968,DC,5049.0,8.506,0.032,0.914,0.028
Gaia DR2 1620047374696579968,DC,10306.0,8.442,,0.882,
Gaia DR2 1624458370533212416,DC:,5653.0,8.135,,0.669,
Gaia DR2 1624733561973468928,DC,5927.0,8.047,0.019,0.6,0.017
Gaia DR2 1626445600362602240,DC:,4457.0,7.839,,0.484,
Gaia DR2 162653160663515008,DC,3777.0,7.501,0.024,0.319,0.014
Gaia DR2 1632819404844402816,DC:,4998.0,7.948,0.039,0.549,0.032
Gaia DR2 163866883676876288,DC:,6443.0,8.254,,0.751,
Gaia DR2 1649973744742416768,DC:,8219.0,7.768,0.05,0.449,0.036
Gaia DR2 165401149074789504,DC,7053.0,8.056,0.027,0.608,0.024
Gaia DR2 1658818319354849536,DC:,6560.0,8.403,,0.85,
Gaia DR2 16599361404800256,DC:,5144.0,7.909,0.071,0.527,0.059
Gaia DR2 166091096919353088,DC,6434.0,8.119,0.025,0.647,0.022
Gaia DR2 1668928221397609984,DC:,4984.0,7.957,,0.554,
Gaia DR2 1669764571788997248,DC:,4451.0,7.928,0.083,0.534,0.071
Gaia DR2 1675850407304241536,DC,6272.0,8.198,0.011,0.698,0.01
Gaia DR2 1679458897091659008,DC,6041.0,8.201,0.019,0.699,0.017
Gaia DR2 1680980518105612672,DC,6113.0,8.025,0.022,0.587,0.02
Gaia DR2 1684084405070896768,DC,7173.0,8.21,,0.724,
Gaia DR2 1686322048672412288,DC,5042.0,9.052,0.019,1.216,0.009
Gaia DR2 1688164349123795072,DC,7619.0,8.373,,0.832,
Gaia DR2 1691837787408390400,DC,7407.0,8.01,0.006,0.581,0.006
Gaia DR2 1692480928695419392,DC:,4934.0,7.882,,0.51,
Gaia DR2 1694363498760645248,DC,6380.0,8.004,0.042,0.575,0.037
Gaia DR2 169819227313335168,DC,5116.0,7.955,,0.554,
Gaia DR2 1698352286428483712,DC:,5049.0,7.974,,0.564,
Gaia DR2 1700408922928538368,DC:,6569.0,8.302,,0.783,
Gaia DR2 1701203388798824320,DC,7896.0,8.199,,0.718,
Gaia DR2 1702458378242137088,DC,4227.0,8.857,,0.477,0.0085
Gaia DR2 170575317652517888,DC:,7089.0,8.369,,0.829,
Gaia DR2 1706149129539465216,DC,5384.0,8.063,0.05,0.609,0.044
Gaia DR2 1706270664229782528,DC,11125.0,7.944,0.017,0.551,0.014
Gaia DR2 171830238376804992,DC,6262.0,8.226,,0.732,
Gaia DR2 1719657969916399744,DC:,5021.0,7.855,,0.496,
Gaia DR2 1720987794869935744,DC:,5123.0,8.014,,0.589,
Gaia DR2 1721284113253562112,DC,6046.0,8.101,,0.65,
Gaia DR2 1724098901677145984,DC,20897.0,8.94,,1.174,0.009
Gaia DR2 1724841037664857728,DC:,7315.0,8.281,0.026,0.754,0.025
Gaia DR2 1728388195320169088,DC:,4372.0,7.876,,0.504,
Gaia DR2 1733782571164433408,DC,9786.0,7.999,0.01,0.58,0.009
Gaia DR2 1735873395604000512,DC:,6209.0,8.49,,0.907,
Gaia DR2 1737175805783123584,DC:,5184.0,7.166,0.019,0.218,0.007
Gaia DR2 1752188773770447872,DC,6173.0,7.964,0.024,0.551,0.019
Gaia DR2 1755960820211364352,DC:,5014.0,7.883,,0.511,
Gaia DR2 175817887877152896,DC,7004.0,7.978,0.015,0.561,0.012
Gaia DR2 1759659474245790720,DC:,4854.0,7.997,,0.577,
Gaia DR2 1773934438004155136,DC,8859.0,8.411,,0.859,
Gaia DR2 1773969996038337792,DC,6833.0,8.456,,0.886,
Gaia DR2 1777269424274555776,DC,7329.0,8.092,0.009,0.632,0.008
Gaia DR2 1786065654735928064,DC,8306.0,8.033,0.018,0.597,0.016
Gaia DR2 1787668055493515776,DC,6023.0,8.108,0.041,0.639,0.037
Gaia DR2 1795467063268699264,DC,6226.0,7.924,0.026,0.528,0.02
Gaia DR2 1798927947915336448,DC,5959.0,7.849,0.014,0.485,0.011
Gaia DR2 1799336279047495424,DC,5018.0,7.971,0.044,0.551,0.037
Gaia DR2 1799385928868168960,DC,4639.0,,,0.565,0.053
Gaia DR2 1799850987927155456,DC:,7091.0,8.383,,0.838,
Gaia DR2 1802936290587532928,DC,10435.0,8.256,,0.761,
Gaia DR2 1809844934461976832,DC:,9557.0,7.685,,0.432,
Gaia DR2 1811300412963816576,DC:,4967.0,7.889,,0.514,
Gaia DR2 1815425638854807552,DC:,6533.0,8.217,,0.727,
Gaia DR2 1815431209434186880,DC,14190.0,8.76,,1.081,0.009
Gaia DR2 1821533533372197504,DC,9751.0,8.351,,0.821,
Gaia DR2 1829120747684239104,DC,10109.0,8.292,,0.784,
Gaia DR2 1829718297906435712,DC,8080.0,8.424,,0.867,
Gaia DR2 1831139962120557568,DC:,7354.0,8.533,,0.937,
Gaia DR2 1831618524556441216,DC:,4722.0,7.843,,0.486,
Gaia DR2 1833426263409692800,DC:,5002.0,8.12,,0.655,
Gaia DR2 1839493604790492032,DC,6300.0,8.074,0.019,0.618,0.017
Gaia DR2 1840810858375964544,DC,10381.0,8.192,,0.719,
Gaia DR2 1843026679248455936,DC:,4423.0,7.879,,0.506,
