age,Dage
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.1,
1.764,
3.563,
1.898,
,
0.8209,
,
,
0.8338,
1.06,
,
0.8078,
,
0.5978,
,
,
,
,
,
,
,
,
,
0.0955,
,
0.898,
,
,
0.5942,
,
,
2.641,
,
0.5009,
,
3.394,
1.116,
0.6562,
1.098,
1.309,
,
3.753,
0.6414,
0.6313,
1.938,
3.072,
,
0.5529,
,
,
,
,
,
,
3.9,
,
,
,
0.4921,
,
1.045,
,
,
,
,
,
0.6544,
,
,
0.911,
1.423,
0.5804,
2.279,
,
0.713,
1.114,
,
0.7885,
,
,
2.383,
,
,
0.7107,
0.3563,
0.4569,
0.6469,
1.019,
1.042,
,
,
1.439,
1.606,
1.158,
3.223,
,
0.7356,
,
,
,
1.785,
0.7451,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.789,
,
,
,
,
,
,
,
,
,
3.188,
0.9776,
,
,
0.0,
,
0.7737,
,
0.952,
0.9442,
,
,
,
,
,
,
,
,
,
0.6801,
,
,
,
,
,
,
,
,
,
,
1.452,
,
,
,
,
1.046,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.51,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.159,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
1.083,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2.898,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
